code,name,unit,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,Afghanistan,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4398005783971675,4.51029702182103,2.8448971439271493,2.6055292179651866,2.3135567633924388,2.4756846334802414,2.869325523775979,2.14981891629868,2.4676629693168457,3.67063467468137,3.8082411808830035,4.085826272828924,5.060098487003669,5.42108838209345,5.2340409934711065,5.7265317212840365,5.421877725510988,5.410380446927573,6.077296472780353,6.201085522380907,6.086557325295736,6.31722487201586,5.995611426568829,5.997769408122763,6.506154704096044,5.645736572161693,5.505850614195103,6.162990109498456,5.81014533078947,5.85550723822988,
DZA,Algeria,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,Andorra,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,Anguilla,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Argentina,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.06960488965927,120.55846570517055,127.80728988747022,123.22942706185613,127.044316337675,129.8186918240351,136.80440515835792,143.8000680567935,146.999811944465,149.2060061925554,140.20157417187974,129.22287314094032,82.40691401329236,108.1098206209989,126.734915708973,134.64743886627917,149.70862428713986,155.7588204956014,170.80474490065103,160.5413261876347,175.1335133400545,183.3280358398929,188.7656462218043,194.29191848739933,192.93063534325753,202.3037705207497,195.33784623766454,195.53667708705055,184.92475004302386,166.7203771165471,
ARM,Armenia,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.043343512426843,4.572711420071264,3.712704601089257,1.8380639283228604,1.7899638939748097,2.7231343457163635,2.906677008045316,3.9503738088188,3.9697025514933966,5.13077288361539,4.018408294942323,4.122031902813147,3.7141910485478333,4.244175318766277,4.32280681726476,5.388618177166657,5.34320595862647,7.420055809999801,6.680486753629406,5.848073702873051,5.487474333125363,5.729296992138242,6.322659432130873,6.248749346403667,6.228918249369163,5.985947184451007,5.553682840106537,5.7137410902427535,6.080380135828386,5.475767896467183,
ABW,Aruba,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.08608976463162,247.69712811590594,249.96306222067804,251.48294795504066,262.80968333304924,266.12897185847464,273.44136426145036,282.906312312492,300.2341876960734,298.2379878685328,291.55479014391733,298.3982641704867,320.9895212050729,334.4932242546598,347.6469546656385,342.8610339787413,361.82522347608966,372.89352106510904,367.95465728702266,384.34048580415765,383.7317538481423,393.1569710947743,410.5941168153624,387.94682897884104,396.798761059019,397.5877764775987,389.44974299218165,388.28451942304196,378.8008528131997,375.730465401522,
AUT,Austria,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.05306284780683,89.7904880243426,91.70609936742284,87.8501065646853,87.61266694335063,91.62388708059473,99.13910206499419,93.77430455311087,97.24256621394994,95.7309402088578,96.63470609787242,99.11169387585437,99.4797343549141,100.87648516985014,103.8120963944548,106.22551670197025,108.32255058829564,102.86278287634029,101.33502131112617,92.8488672287561,98.61380217685517,101.61026861159496,96.23518092459261,94.28518760643804,91.15857006201293,92.01007164307384,92.63135319928672,95.06145974486151,93.15090282333477,91.68783621507951,
AZE,Azerbaijan,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.498598773987652,21.916491835483594,13.917343833155217,24.40092154563844,19.289488830584173,23.38855078718125,28.584296645398524,25.813718306382526,30.196813625918647,26.75193948994574,25.70173747842206,26.08452115700079,29.58409264761896,33.57518765108248,36.10125439932832,34.610272103119236,39.7987695271221,31.25196579248531,35.18011961556514,31.5652994725985,30.18083413115848,32.60593645831775,35.698889737016145,37.283568785953236,39.6683726962259,40.6183573478694,39.28081154027873,39.262408997691736,39.187631374568966,40.399845601749334,
BHS,Bahamas,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.609650503979623,11.924947066586034,11.443638973733782,14.024762591863285,14.44319306139446,14.327216866324633,14.596586354468286,14.318552853158401,16.151052655439603,9.769460667242027,12.616527488200205,11.15045284280928,12.158836278512148,11.294056726527485,11.053040837112157,12.883011041323208,11.06798396524073,14.81715440494927,16.73321930645845,18.452334660289605,19.489200348595045,14.46790226537535,12.512529334258469,13.469163595904682,14.563661237310642,17.123965627718402,18.08951170240896,18.52359886249268,18.201498161516707,18.967352682086783,
BGD,Bangladesh,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1067618736818,19.184049178023145,20.51628613359259,20.804890900044864,22.971905651902826,26.112630195620138,27.02953213063547,28.906288518810374,28.798209622949216,29.934567791058626,32.721680598850945,40.333212872047696,37.45072571246417,46.09160185943903,47.63970017796953,48.9805558664367,52.25720086590704,55.969741829633506,57.01075461417417,62.20064248400346,70.57499200503656,75.40980492959356,78.43437890502061,85.25287074862396,88.92891289876734,94.60118128034604,96.86150966388637,101.99693153862556,105.5694177416219,115.7510429009583,
BRB,Barbados,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.15302030451414,63.30761671555566,44.24955219411797,37.32091041957593,28.825186040515884,33.68940682256006,47.033799881937,44.68451840987933,70.6997730298552,66.657329565717,65.32565413468525,61.277396582873905,63.72273294801883,61.5213337626624,63.990804725143995,60.219834091006334,67.45474487662055,70.58671971870126,76.75655658153009,54.25705970278256,60.51455471247926,50.48870761605256,63.48775905099907,66.15661320150153,66.97256017096699,63.1571994835408,61.3492705554377,61.19548005771273,64.34456283492197,63.55550239846023,
BEL,Belgium,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.51946199185613,155.4435814119705,171.9948521109185,162.31264433638873,161.58854076324997,165.86655481671184,164.62265182285668,169.7279632626809,180.6147934165674,184.87324896803764,188.7394450916447,186.75993166348576,198.28793747277243,196.45687937359256,218.14405670667648,214.18919953024988,223.6150161737162,226.4732365269631,209.26030831284223,177.87535471784136,192.9232545428639,205.49499908698309,184.43122496004798,182.0445375734656,176.9202662588764,175.66721694792236,170.47454852966524,171.53622818544042,176.80348092426289,171.66321989253322,
BLZ,Belize,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9525641195564045,1.063525100432784,1.1178749623352409,1.2692027364320553,1.4753716556387966,1.5444395357183358,1.6702947940254145,1.8875737112970468,2.001115925506958,2.04355786066278,2.4863644888847345,2.787018942187707,3.286850292885863,3.869310034104496,3.659211409901315,4.769997193533953,6.142758048953167,6.343948450384601,7.173691974911111,6.7731108156323705,7.1496858451952265,8.71702957745334,7.405740902573236,7.805948904039695,7.4843449973726495,7.918763260858083,8.407910943738496,8.755842829947069,9.135245952061789,9.325138785718396,
BMU,Bermuda,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BES,"Bonaire, Saint Eustatius and Saba",MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7023333333333333,2.6363333333333334,2.7793333333333337,3.1973333333333334,3.0323333333333333,3.047,2.7573333333333334,2.8013333333333335,3.344,3.1606666666666663,7.687481018739867,6.98508048833331,3.23065870079971,12.2512542024048,9.06461208437983,7.540983631306033,7.567333384290863,9.780821970568587,11.96800986344744,5.293581864572723,6.790182946695206,5.032112871080094,5.9268761828850565,16.098248009056622,17.604357008056574,16.103031597594846,16.945014580678137,17.71763965423958,18.160979935969863,18.442475055226456,
BRA,Brazil,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.38590472324208,252.01610887806353,254.01823709566884,262.74056511379564,275.50045160260953,297.5840480410677,321.7851176238017,342.20172803662996,349.00754502004565,332.787233787514,350.67791616273604,343.7169217111813,332.415892301827,326.53952426604815,338.79629953979116,352.854182886367,365.45795433958875,398.14225818026733,442.94037122632363,407.42765928661134,485.32575716701996,514.047929144123,543.0888513801079,574.421645560499,598.315867444944,549.453267199089,515.678460096338,525.0503892392734,502.0071621636684,504.3473813324613,
VGB,British Virgin Islands,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.453303124157469,4.045669917431891,4.361374404697787,4.644640749339726,4.869624751431293,4.750042929317987,5.51597014828739,3.7779502697471337,5.20660525854304,3.0982159011177917,3.116819182444018,3.0357451629187904,3.0792146040730692,4.489216069630124,4.2355707699986995,4.192446093242183,4.535785809601897,6.800439423523937,6.94892252677392,6.429547616521407,6.5140125656420835,7.726376747212861,8.33625666582434,8.488908537156485,9.072258780775373,8.178212141726,8.45452524828923,10.01896546251205,10.06677902577655,9.974475417345634,
BGR,Bulgaria,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.31650854693796,44.71618426053607,42.18922925238193,45.48929637619913,41.585001325440835,46.54807547731036,48.513431953836296,46.26808718307013,45.664459344574766,41.20091311062026,44.598058395886234,45.8055128840716,43.36901205127956,46.43440216280359,45.64516736179217,47.47388507404913,50.826744608748896,52.359027543381536,53.26360352262473,44.12059384682694,42.87495720687227,45.644344746528,43.71414146147876,38.02127775206383,39.53590304030033,41.17571368006103,38.82577986758973,40.0694383184403,39.37676667481187,38.4242638099221,
BFA,Burkina Faso,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8124540126971619,0.8564129004548334,0.8696929429848513,0.8714382071489783,0.897546805517857,0.9218299193850888,0.97522269735957,1.1189489628616383,1.6815236989142315,1.9979009141640416,1.4765120638803222,1.652004104414796,1.6804262121939602,1.9127547905466147,2.3400665526007183,1.6216237295404925,1.8038610511734081,2.201794758889385,2.4529670450683567,2.7828607509063903,2.8441617750734287,2.7135615992145206,2.9985635569657023,4.04898196137897,4.097208965581453,4.39510678564166,4.490107756504553,5.032142546369069,5.35176937764249,5.4471210700897466,
BDI,Burundi,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8697113083172006,1.9507516878706745,2.045976504056918,2.00561091152851,2.095387389306563,2.0525127428422576,2.2873337685682986,2.254071100400647,2.8046826156147335,2.704568631310208,2.7870781860271236,3.364688374135007,2.6079897707110393,4.711500528057143,4.869322107879129,6.064231309769344,6.7436283197111395,7.347262106489066,8.06338495095485,8.173490932599666,9.988048523855893,11.050169400627903,10.86948682128804,12.89859048858776,13.611466549228352,14.953601895485662,16.02206403297489,17.84231726819828,18.04606295731554,19.877428492006544,
CAN,Canada,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.91761857280034,484.9458617119637,498.39564577239804,485.9484768334533,491.42888774752663,499.86497987331404,509.53051598865164,541.7150478887473,545.5191696525377,543.5454559072047,564.8781624448123,543.863943490505,566.611617407473,546.1586451318396,562.8246502532501,576.860209905551,567.030481693456,600.1137887811514,584.232895504918,561.6747112247809,597.1878272786727,565.801091165167,603.2457592562756,605.9563414685366,595.1257569451664,577.739411207761,559.8379084731326,571.1731736824044,580.8653027104509,575.8251182357886,
CPV,Cape Verde,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.24208945763986,31.07822807030938,33.365912539898105,35.60050095791882,38.069227471167935,41.2204898627159,48.34459154099593,54.74813293392557,56.230253767558565,60.201272150491626,60.112505673626266,54.705693978518006,59.494817703646966,55.751967712588765,58.40959558886357,62.9463022767623,66.35492771301459,70.57020357489924,78.48018781102316,65.41359718130637,74.3573550027693,83.4770167677721,90.44386958223394,91.83694172932435,87.41187678488649,90.3944524900736,91.3033803225775,91.35434822715813,92.89356283659576,93.71645615711098,
CHN,China,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322.128792490518,2401.954367245033,2578.91304934681,2759.56896474618,2749.1421963517055,2992.94414109988,3123.1496248778653,3055.937112704527,2958.0215113987815,2995.083294867983,3043.6307109395034,3188.4585643814457,3426.7961432922802,3833.871059184173,4327.574271555187,4757.5831650994905,5056.043205291907,5485.45425672486,5983.345200643763,6733.995063349731,7303.081385618151,8069.203224529774,8373.274093941718,8605.40476911423,8703.827519184968,8686.898234725113,8706.74890727884,8895.14647458745,9291.824858393733,9449.707366138931,
COL,Colombia,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.312294136915625,61.39672139006524,68.0019644002039,69.98226511490977,73.73693991675513,67.2995504986519,67.47847092654837,72.82564711336273,72.90012032982433,58.114517882365995,58.9896145462756,59.10844619178656,63.177949459873595,59.66200361036373,58.03018793637157,65.26155177569024,69.83565868093429,70.79574571906797,76.873304545851,77.6569419522028,84.34749225281978,86.1426756845666,92.20395689430897,100.0525923440912,101.82724498975051,103.31915297138893,103.86193742549716,97.96704256442364,96.97487177016357,100.62485471418672,
COM,Comoros,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,Congo,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COK,Cook Islands,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1295381546094765,5.202169580554981,5.703554711744157,5.7304859388043665,6.861837993968869,6.70076522654044,6.543868585243989,7.101744332999506,8.206679700019498,10.854877966153282,9.715560730706821,10.32915505931584,15.383678577893669,11.615557101383546,12.178929189229882,13.227543372863272,11.520959500168324,13.080501005053021,13.36641644287301,11.371657024273185,12.389138162447898,13.584683306281741,13.971709385365344,13.345158623153793,13.285615320176907,12.543664254997848,12.53125681646839,12.916390690972927,12.995163808237196,13.203866500410667,
CIV,Côte d'Ivoire,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.938602732853963,5.557205898102613,5.815552459124468,6.558541651845773,5.31239347952269,7.07649843787128,6.663770024797124,6.4496685546084365,8.44274823215901,6.235520848246288,5.62664821193673,6.341483014680111,5.10846859197631,6.8884270545071296,7.472833550491612,8.309364307587382,8.280343642317925,7.747175211675459,8.494227797780853,7.570731959648513,8.095597761514304,8.183109432015613,10.26987183594735,15.102237448933508,15.425298875834578,14.482105249845715,16.161525500724707,16.294118035898045,15.464182155622899,15.402526447927556,
HRV,Croatia,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.054244164048225,15.640194904438646,18.037420091698554,18.06075853996638,17.54171754668828,19.153052799186053,19.874522353343313,21.128435889480333,20.815206388264347,21.997849330188895,21.55853992060813,24.15323005492485,25.657299552402687,27.609170327316306,27.259300354708255,28.70397140790018,32.12531953978985,31.337455606139724,31.02051683426663,26.861172830773967,25.331696940525106,27.74204552526297,22.93246935122561,22.21318753087753,20.954811390707405,20.921468100871802,21.162928268422895,21.750859170037504,21.339736941059204,21.410837588210143,
CUB,Cuba,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUW,Curaçao,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.709758918174363,6.810667102205816,8.148930508148833,7.448058392819806,7.473421821405613,7.689523516260337,9.036762340254073,8.218636103026286,9.806871450083216,8.230824092384703,9.845568648608916,9.545246593056827,11.456286741625844,10.090554824796014,9.18273756641065,9.66909337423832,9.44417381080536,10.80612445481305,12.26492016098525,13.167609439981225,13.37970034435254,11.827318570158594,9.69887559461722,7.8772295658331,7.831143404366297,7.516366123877856,7.4242500625469745,7.735640370417923,7.8814723265513775,7.7845599856945435,
CZE,Czech Republic,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.95018610668373,130.52909382386466,145.73150019456122,130.54544882010867,124.99034428842977,123.43529606066305,122.28805251855685,118.10742309684083,113.58713451590818,109.70881521251226,118.44804570924822,118.73952607752437,121.6432836969746,119.96305643918492,114.69353671027706,109.57089948186433,119.6175675475077,124.77407447426312,128.23148298691942,113.63497504903795,119.70858095364446,118.73384633425701,110.02131556970069,106.57884429271382,101.9557551871067,103.17779326617107,103.83515316262293,106.02722252143047,107.77195015455037,103.5894142761544,
PRK,North Korea,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,Democratic Republic of the Congo,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.74551435437623,65.53943820866749,68.93138715691946,66.75471970258374,68.59583094217884,67.8952150599294,73.1739308969944,67.70758505969884,65.80751373872903,69.6743217016737,65.53005959509825,65.53059826587854,66.50268083250477,68.31971075248549,69.58111686179316,67.31009126974146,73.58603294649457,69.96021378372033,67.33811525162993,62.26008142804341,62.86081227963314,61.461278073820175,55.541580829367604,55.922895576287665,53.0558419497205,50.87483142549903,51.33664472200917,50.67530160940941,51.5530305167592,47.7794306043395,
DJI,Djibouti,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.340508461038187,9.90629208298994,10.828791219014265,11.426849763191171,12.093618591250936,14.900795763976832,16.344167805379,17.65918802299432,19.45659861276842,20.552245327648794,23.254611381916163,23.189162580443565,22.353572288626225,20.75257074383889,17.436173138830487,20.630210114105683,21.219947952460547,23.99377836361708,25.48699909639763,23.399123799574856,24.612775011615117,25.312411736568365,26.322824129961443,25.641165189744907,25.440166834027295,25.88714877027037,26.049310083701997,25.709322008829066,27.187743163896922,28.290890370182183,
ECU,Ecuador,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00490981511212,16.460497248677203,20.830550747377064,23.507141081795357,15.123731250999358,22.67315161907422,23.26106168319325,19.393261008197303,24.5968734697752,21.769652354577342,20.88974164125915,25.5725174045231,29.789494879531276,29.956129887718618,31.596952849096983,33.1852161138875,33.58874877033636,38.258014267213035,35.015369406391436,37.53266951011967,42.32314733758027,45.02064478234217,45.8140801009716,47.41563383819314,50.5064174361197,48.7280953235725,47.22256221437846,46.98216030445593,45.843255230132435,44.40708844234703,
EGY,Egypt,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8464581557931,78.3548083049468,87.53752700562137,94.21342782908393,89.24425916609023,98.75523506855563,99.6554849315949,111.26763493469946,128.28754659908256,132.5372666444046,138.13178040081604,121.12574788550792,122.85574105668856,138.8893988740621,130.4509077751847,152.92325954163906,158.87694416302682,170.26658276434435,183.0018277876129,198.3505856533817,202.63193707123912,212.46310815280103,221.23554070856076,214.51406085849445,231.9146636052176,229.25819522392746,246.62680868647138,250.95457599252146,228.31508843341112,227.0538965309582,
SLV,El Salvador,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02025441213858,4.608095815383536,4.920620469324853,5.3531026326794136,5.963212107829424,6.52831190939807,6.058990262695076,7.211115197114107,8.141842640722194,7.89662842863466,8.220556127336117,8.87524531829529,9.119095406343048,9.388186210153556,9.029920443237833,8.909180504333744,9.331288226956117,9.430916485145685,9.33939318464867,8.17140147386684,8.44029325734958,9.140225366917186,8.753764672358054,8.659947666601953,8.55746413855762,8.608319905668486,8.464521804860771,8.009614308350306,8.3715368348986,8.62215192287284,
GNQ,Equatorial Guinea,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,MtCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.729965893518084,29.88587384025375,23.792032590187365,17.750174435918467,16.464750539801376,15.626418584326549,16.805863459294105,15.85220233270784,17.337592644951666,20.04132020904805,18.593147480314364,18.096735823030773,19.22714263109798,20.77510958131297,18.439221420560745,19.00006308717975,20.096157092063837,21.202199923321707,17.866457755556443,15.058444975434996,17.66528341685437,19.53125498225884,18.409023198957744,18.451296506302807,18.049086714548196,16.58123940187858,17.293725469999476,18.28637674631607,18.462096741872227,14.934499112503886,
