,name,type,unit,"Total CO2 emissions 
from fuel combustion","Other energy 
industry own use*","Manuf. industries 
and construction",Transport,of which: road,Residential,Commercial and public services,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,World,sectors_alt_2019,MtCO2eq,33621.52686,2300.92616,12304.09207,8450.192487,6099.542377,5459.760538,3232.352002,,,,,,,,,,,,,,,
1,Annex I Parties ,sectors_alt_2019,MtCO2eq,12083.98205,975.297181,2860.867867,3684.051105,3060.592919,2421.276841,1796.615684,,,,,,,,,,,,,,,
2,   Annex II Parties   ,sectors_alt_2019,MtCO2eq,9222.027633,732.099521,1922.020656,3099.903081,2641.256271,1734.737381,1464.675879,,,,,,,,,,,,,,,
3,      North America      ,sectors_alt_2019,MtCO2eq,5315.457881,453.997886,872.137833,1955.821892,1611.121813,993.894664,868.559231,,,,,,,,,,,,,,,
4,      Europe      ,sectors_alt_2019,MtCO2eq,2436.232102,173.930542,570.877727,813.273477,752.356746,497.075153,308.792232,,,,,,,,,,,,,,,
5,      Asia Oceania,sectors_alt_2019,MtCO2eq,1470.33765,104.171093,479.005096,330.807712,277.777712,243.767564,287.324416,,,,,,,,,,,,,,,
6,   Annex I EIT   ,sectors_alt_2019,MtCO2eq,2487.468893,225.564142,811.113048,497.048572,338.857722,622.367939,269.110635,,,,,,,,,,,,,,,
7,Non-Annex I Parties ,sectors_alt_2019,MtCO2eq,20234.93831,1325.628979,9443.224206,3463.534876,3038.949458,3038.483697,1435.736318,,,,,,,,,,,,,,,
8,Annex B Kyoto Parties,sectors_alt_2019,MtCO2eq,3877.223067,306.986318,998.126988,1143.572014,1039.735258,798.751636,507.185415,,,,,,,,,,,,,,,
9,OECD Total,sectors_alt_2019,MtCO2eq,11317.68215,894.871838,2608.367516,3645.564902,3158.093764,2063.502484,1749.534114,,,,,,,,,,,,,,,
10,Non-OECD Total,sectors_alt_2019,MtCO2eq,21001.2382,1406.054322,9695.724557,3502.021079,2941.448613,3396.258054,1482.817888,,,,,,,,,,,,,,,
11,Canada,sectors_alt_2019,MtCO2eq,571.008661,132.779789,99.701129,192.643073,151.112681,67.01123,59.455888,,,,,,,,,,,,,,,
12,Chile,sectors_alt_2019,MtCO2eq,90.498027,2.545218,36.679263,29.381883,26.031467,10.869705,8.417094,,,,,,,,,,,,,,,
13,Mexico,sectors_alt_2019,MtCO2eq,419.39078,51.357412,130.073358,147.815313,143.117245,46.788231,18.284793,,,,,,,,,,,,,,,
14,United States,sectors_alt_2019,MtCO2eq,4744.44922,321.218097,772.436704,1763.178819,1460.009132,926.883434,809.103343,,,,,,,,,,,,,,,
15,OECD Americas,sectors_alt_2019,MtCO2eq,5900.223813,514.114083,1057.913716,2164.33525,1811.009461,1060.685534,899.754713,,,,,,,,,,,,,,,
16,Australia,sectors_alt_2019,MtCO2eq,380.742064,57.61719,97.037418,104.133529,83.056301,54.260996,59.495069,,,,,,,,,,,,,,,
17,Israel,sectors_alt_2019,MtCO2eq,60.874868,2.245473,11.737013,18.132592,17.786722,11.859244,10.82844,,,,,,,,,,,,,,,
18,Japan,sectors_alt_2019,MtCO2eq,1056.191721,44.807733,372.932202,210.477724,180.008778,187.1647,225.513855,,,,,,,,,,,,,,,
19,Korea,sectors_alt_2019,MtCO2eq,585.708457,49.949756,227.497005,107.941562,101.553294,76.187469,107.300376,,,,,,,,,,,,,,,
20,New Zealand,sectors_alt_2019,MtCO2eq,33.403865,1.74617,9.035476,16.196459,14.712633,2.341868,2.315492,,,,,,,,,,,,,,,
21,OECD Asia Oceania,sectors_alt_2019,MtCO2eq,2116.920975,156.366322,718.239114,456.881866,397.117728,331.814277,405.453232,,,,,,,,,,,,,,,
22,Austria,sectors_alt_2019,MtCO2eq,62.995254,6.255465,15.110159,25.522935,24.29989,10.519773,4.647948,,,,,,,,,,,,,,,
23,Belgium,sectors_alt_2019,MtCO2eq,90.189476,7.058331,26.253537,25.343167,24.414133,18.36218,10.778561,,,,,,,,,,,,,,,
24,Czech Republic,sectors_alt_2019,MtCO2eq,94.308208,5.474501,29.798679,19.995667,18.481182,21.513098,15.550209,,,,,,,,,,,,,,,
25,Denmark,sectors_alt_2019,MtCO2eq,28.352517,2.084247,4.418901,12.226082,11.310871,5.394927,2.642822,,,,,,,,,,,,,,,
26,Estonia,sectors_alt_2019,MtCO2eq,9.879884,0.464856,2.196896,2.448596,2.367876,2.043473,2.335361,,,,,,,,,,,,,,,
27,Finland,sectors_alt_2019,MtCO2eq,40.123301,3.618256,12.565881,11.180741,10.43861,6.169286,4.518394,,,,,,,,,,,,,,,
28,France,sectors_alt_2019,MtCO2eq,293.865169,19.968853,49.927431,126.382473,118.685413,53.048306,32.437496,,,,,,,,,,,,,,,
29,Germany,sectors_alt_2019,MtCO2eq,644.111015,28.306245,197.956391,165.155225,154.870364,154.273013,89.014972,,,,,,,,,,,,,,,
30,Greece,sectors_alt_2019,MtCO2eq,56.636837,4.879661,10.320159,17.651515,14.822952,12.7899,9.049287,,,,,,,,,,,,,,,
31,Hungary,sectors_alt_2019,MtCO2eq,45.359319,2.542327,11.052364,14.554416,14.023009,10.643038,4.74154,,,,,,,,,,,,,,,
32,Iceland,sectors_alt_2019,MtCO2eq,1.636258,3.7e-05,0.070116,1.012715,0.933079,0.007103,0.00165,,,,,,,,,,,,,,,
33,Ireland,sectors_alt_2019,MtCO2eq,33.857914,0.38079,6.386247,11.834234,11.366773,8.895864,5.581547,,,,,,,,,,,,,,,
34,Italy,sectors_alt_2019,MtCO2eq,309.324881,18.014782,71.179109,104.101916,95.747489,63.706137,43.376189,,,,,,,,,,,,,,,
35,Latvia,sectors_alt_2019,MtCO2eq,7.007674,0.003636,1.070521,3.242322,3.088673,1.209606,0.963626,,,,,,,,,,,,,,,
36,Lithuania,sectors_alt_2019,MtCO2eq,11.152158,1.489503,1.507911,6.273253,6.021238,1.116093,0.513488,,,,,,,,,,,,,,,
37,Luxembourg,sectors_alt_2019,MtCO2eq,9.094359,0.0,1.028279,6.211658,6.198547,0.963355,0.83484,,,,,,,,,,,,,,,
38,Netherlands,sectors_alt_2019,MtCO2eq,146.324407,13.640702,42.366416,31.31121,29.739991,25.009457,22.393838,,,,,,,,,,,,,,,
39,Norway,sectors_alt_2019,MtCO2eq,34.860066,13.032304,6.670562,11.583965,8.363621,0.665613,2.056715,,,,,,,,,,,,,,,
40,Poland,sectors_alt_2019,MtCO2eq,287.38067,18.387398,75.693882,66.730239,63.072763,68.368568,46.482872,,,,,,,,,,,,,,,
41,Portugal,sectors_alt_2019,MtCO2eq,42.413625,3.089089,10.202349,17.32032,16.39578,5.073244,5.2239,,,,,,,,,,,,,,,
42,Slovak Republic,sectors_alt_2019,MtCO2eq,29.672307,4.435423,9.504219,7.907984,7.305565,4.82404,2.719473,,,,,,,,,,,,,,,
43,Slovenia,sectors_alt_2019,MtCO2eq,13.122155,0.035234,3.888531,5.597435,5.508418,1.873769,1.424483,,,,,,,,,,,,,,,
44,Spain,sectors_alt_2019,MtCO2eq,230.913776,22.954989,48.100821,94.515204,82.859317,30.444581,25.77265,,,,,,,,,,,,,,,
45,Sweden,sectors_alt_2019,MtCO2eq,33.652715,1.305845,8.377491,16.40474,15.402974,3.901553,2.613663,,,,,,,,,,,,,,,
46,Switzerland,sectors_alt_2019,MtCO2eq,35.64434,0.347218,5.736176,15.851573,15.392798,8.598143,4.544282,,,,,,,,,,,,,,,
47,Turkey,sectors_alt_2019,MtCO2eq,366.422887,17.628013,126.623956,84.324397,77.741105,62.335835,60.802885,,,,,,,,,,,,,,,
48,United Kingdom,sectors_alt_2019,MtCO2eq,342.236192,28.993728,54.207702,119.663804,111.114144,89.252718,43.303478,,,,,,,,,,,,,,,
49,OECD Europe,sectors_alt_2019,MtCO2eq,3300.537364,224.391433,832.214686,1024.347786,949.966575,671.002673,444.326169,,,,,,,,,,,,,,,
50,Albania,sectors_alt_2019,MtCO2eq,4.048837,0.193889,0.89302,2.186936,2.066299,0.289577,0.187052,,,,,,,,,,,,,,,
51,Armenia,sectors_alt_2019,MtCO2eq,5.854471,0.008413,0.795124,2.082342,2.060231,1.766551,0.173189,,,,,,,,,,,,,,,
52,Azerbaijan,sectors_alt_2019,MtCO2eq,34.05111,3.411488,5.205756,8.513465,7.250616,10.317151,4.791135,,,,,,,,,,,,,,,
53,Belarus,sectors_alt_2019,MtCO2eq,55.405158,5.342086,14.538922,12.348969,10.344551,12.765946,6.987352,,,,,,,,,,,,,,,
54,Bosnia and Herzegovina,sectors_alt_2019,MtCO2eq,20.686256,0.769662,6.397298,4.069703,4.003187,6.090372,3.18887,,,,,,,,,,,,,,,
55,Bulgaria,sectors_alt_2019,MtCO2eq,38.016127,2.642149,10.821935,9.737748,9.349569,8.153182,5.979316,,,,,,,,,,,,,,,
56,Croatia,sectors_alt_2019,MtCO2eq,15.3393,1.061136,2.978808,6.547695,6.278172,2.492934,1.55313,,,,,,,,,,,,,,,
57,Cyprus,sectors_alt_2019,MtCO2eq,6.404013,0.004784,0.926464,2.037668,2.028533,1.544983,1.609395,,,,,,,,,,,,,,,
58,Georgia,sectors_alt_2019,MtCO2eq,9.31487,0.003502,1.93776,3.948325,3.551497,2.253893,0.880523,,,,,,,,,,,,,,,
59,Gibraltar,sectors_alt_2019,MtCO2eq,0.716705,0.0,0.0,0.571588,0.571588,0.0,0.022849,,,,,,,,,,,,,,,
60,Kazakhstan,sectors_alt_2019,MtCO2eq,205.044962,23.102329,74.043285,19.280559,15.879106,55.712957,21.993776,,,,,,,,,,,,,,,
61,Kosovo,sectors_alt_2019,MtCO2eq,8.609288,0.000484,2.092994,1.311211,1.307689,3.420825,1.533069,,,,,,,,,,,,,,,
62,Kyrgyzstan,sectors_alt_2019,MtCO2eq,9.293406,0.097471,1.179009,1.179617,1.173345,5.888868,0.888202,,,,,,,,,,,,,,,
63,Malta,sectors_alt_2019,MtCO2eq,1.658623,0.000721,0.183743,0.737387,0.709288,0.290703,0.41689,,,,,,,,,,,,,,,
64,Republic of Moldova,sectors_alt_2019,MtCO2eq,8.281045,0.028545,2.046862,2.209548,2.12384,2.420401,1.150623,,,,,,,,,,,,,,,
65,Montenegro,sectors_alt_2019,MtCO2eq,2.601108,0.0,0.557724,0.813403,0.80306,0.6585,0.554464,,,,,,,,,,,,,,,
66,Republic of North Macedonia,sectors_alt_2019,MtCO2eq,7.950916,0.07577,2.136535,2.308635,2.291175,2.128741,1.232904,,,,,,,,,,,,,,,
67,Romania,sectors_alt_2019,MtCO2eq,70.094389,4.712764,22.788215,18.985672,17.836735,14.826422,6.392596,,,,,,,,,,,,,,,
68,Russian Federation,sectors_alt_2019,MtCO2eq,1640.32759,173.23339,556.054697,292.939178,153.152438,432.501095,154.232582,,,,,,,,,,,,,,,
69,Serbia,sectors_alt_2019,MtCO2eq,45.136531,3.100312,12.430748,7.236901,6.822843,15.630191,6.087412,,,,,,,,,,,,,,,
70,Tajikistan,sectors_alt_2019,MtCO2eq,7.538598,0.001324,2.363523,1.361423,1.35093,1.947388,0.315197,,,,,,,,,,,,,,,
71,Turkmenistan,sectors_alt_2019,MtCO2eq,69.210474,8.245696,8.479081,12.207078,7.871972,4.032699,16.848967,,,,,,,,,,,,,,,
72,Ukraine,sectors_alt_2019,MtCO2eq,170.403954,5.739739,69.217468,29.739398,22.027533,40.036675,19.234607,,,,,,,,,,,,,,,
73,Uzbekistan,sectors_alt_2019,MtCO2eq,111.808667,17.280953,24.177493,16.169628,13.439983,31.634778,12.136199,,,,,,,,,,,,,,,
74,Former Soviet Union (if no detail),sectors_alt_2019,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,
75,Former Yugoslavia (if no detail),sectors_alt_2019,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,
76,Non-OECD Europe and Eurasia,sectors_alt_2019,MtCO2eq,2547.796398,249.056607,822.246464,458.524077,294.29418,656.804832,268.390299,,,,,,,,,,,,,,,
77,Algeria,sectors_alt_2019,MtCO2eq,142.36988,11.035031,27.606783,46.637181,42.956322,42.854117,2.823802,,,,,,,,,,,,,,,
78,Angola,sectors_alt_2019,MtCO2eq,18.766744,1.12188,3.060912,7.933886,7.87662,4.639548,1.976295,,,,,,,,,,,,,,,
79,Benin,sectors_alt_2019,MtCO2eq,7.087853,0.0,0.559607,5.910633,5.910633,0.206082,0.341029,,,,,,,,,,,,,,,
80,Botswana,sectors_alt_2019,MtCO2eq,7.246317,0.0,1.819355,2.398676,2.325155,1.416849,1.172577,,,,,,,,,,,,,,,
81,Cameroon,sectors_alt_2019,MtCO2eq,6.503631,0.026722,1.547811,3.243427,3.216422,1.041655,0.180572,,,,,,,,,,,,,,,
82,Congo,sectors_alt_2019,MtCO2eq,3.655335,0.0,0.254099,1.327562,1.21152,1.010224,1.063449,,,,,,,,,,,,,,,
83,Côte d'Ivoire,sectors_alt_2019,MtCO2eq,10.741904,0.319133,2.341795,4.235657,3.818212,2.223071,1.286477,,,,,,,,,,,,,,,
84,Dem. Rep. of Congo,sectors_alt_2019,MtCO2eq,2.211141,1.5e-05,0.020895,2.188302,1.884334,0.001727,0.000201,,,,,,,,,,,,,,,
85,Egypt,sectors_alt_2019,MtCO2eq,225.482657,15.013056,68.463499,54.287397,51.160656,55.269617,24.999404,,,,,,,,,,,,,,,
86,Equatorial Guinea,sectors_alt_2019,MtCO2eq,4.79507,0.350879,3.204314,0.552235,0.528723,0.400531,0.232556,,,,,,,,,,,,,,,
87,Eritrea,sectors_alt_2019,MtCO2eq,0.766817,0.0,0.125784,0.261456,0.253095,0.248943,0.130635,,,,,,,,,,,,,,,
88,Ethiopia,sectors_alt_2019,MtCO2eq,14.755338,0.0,5.193904,7.732601,7.704385,0.231056,0.279328,,,,,,,,,,,,,,,
89,Gabon,sectors_alt_2019,MtCO2eq,2.445192,0.23275,0.88987,0.197238,0.188737,0.856627,0.227642,,,,,,,,,,,,,,,
